Mission name,Value,Organisation,Nation,Type (U/mass),Launch date,Status,Mission description,Link,Link_full,
AeroCube-2,航天立方2号,Aerospace Corporation,US,1U,4/17/07,Was operational,Demonstrate CubeSat platform technologies and CMOS camera.,sat/aerocube-2.html,https://www.nanosats.eu/sat/aerocube-2.html,
CAPE-1 (CAPE1),卡津先进试验皮星1号,University of Louisiana at Lafayette,US,1U,4/17/07,Was operational,Educational space systems engineering.,sat/cape-1.html,https://www.nanosats.eu/sat/cape-1.html,
CP3,加州理工大学3号,California Polytechnic State University (Cal Poly),US,1U,4/17/07,"Was operational, ?",Educational space systems engineering with focus on ADCS.,sat/cp3.html,https://www.nanosats.eu/sat/cp3.html,
CP4,加州理工大学4号,California Polytechnic State University (Cal Poly),US,1U,4/17/07,Was operational,Demonstrate CubeSat platform technologies and energy dissipation experiment. Backup model of CP2.,sat/cp4.html,https://www.nanosats.eu/sat/cp4.html,
CSTB-1 (CubeSat TestBed 1),立方星测试床1号,Boeing,US,1U,4/17/07,Was operational,Demonstrate CubeSat platform technologies.,sat/cstb-1.html,https://www.nanosats.eu/sat/cstb-1.html,
Libertad-1,自由1号,Sergio Arboleda University,Colombia,1U,4/17/07,Was operational,Educational space systems engineering and transmission of Colombian national anthem.,sat/libertad-1.html,https://www.nanosats.eu/sat/libertad-1.html,
MAST (Multi-Application Survivable Tether),多应用可存活绳系,Tethers Unlimited,US,3U,4/17/07,Was semi-operational,3 tethered CubeSats with 1 km tether and middle one will crawl.,sat/mast.html,https://www.nanosats.eu/sat/mast.html,
"MEMS-Pico (ZDPS-1, Zheda Pixing, MEMS)",浙大皮星一号,Zhejiang University,China,1 kg,5/25/07,No signal,Educational space systems engineering.,sat/mems-pico.html,https://www.nanosats.eu/sat/mems-pico.html,
"AAUSAT2 (AAUSat-2, AAUSAT-II)",奥尔堡大学2号,Aalborg University,Denmark,1U,4/28/08,Operational,Education space systems engineering with focus on ADCS and gamma-ray experiment.,sat/aausat2.html,https://www.nanosats.eu/sat/aausat2.html,
CanX-2 ((Canadian Advanced Nanospace eXperiments),加拿大纳星实验2号,Space Flight Laboratory,Canada,3U,4/28/08,"Operational, ?, Unknown","ADCS technology demonstrations including propulsion module. Radio occultation experiment, atmospheric spectrometer and space materials experiment.",sat/canx-2.html,https://www.nanosats.eu/sat/canx-2.html,
"CanX-6 (NTS, Nanosatellite Tracking Ships)",加拿大纳星实验6号,Space Flight Laboratory,Canada,6.5 kg,4/28/08,Was operational,AIS receiver to detect maritime vessels.,sat/canx-6.html,https://www.nanosats.eu/sat/canx-6.html,
Compass-1,罗盘1号,Aachen University of Applied Sciences,Germany,1U,4/28/08,Was operational,Demonstrate CubeSat platform technologies for educational purposes and GPS receiver. Camera to take photos.,sat/compass-1.html,https://www.nanosats.eu/sat/compass-1.html,
CUTE-1.7+APD-2 (CUTE1.7+APD-II),东工大立方星1.7号2,Tokyo Institute of Technology,Japan,3 kg,4/28/08,Operational,Follow-on satellite to the Cute-1.7 + APD plus many improvements and camera.,sat/cute-17-apd2.html,https://www.nanosats.eu/sat/cute-17-apd2.html,
Delfi-C3,代尔夫特C3,Delft University of Technology,Netherlands,3U,4/28/08,"Reentered, Operational","Educational space systems engineering, transponder for radio amateurs and demonstrate thin-film solar cells and sun sensors.",sat/delfi-c3.html,https://www.nanosats.eu/sat/delfi-c3.html,
"SEEDS-2 (SEEDS-II, Space Engineering EDucation Satellite-2)",航天工程教育卫星2号,Nihon University,Japan,1U,4/28/08,Operational,Demonstrate the reception of spacecraft parameter data.,sat/seeds-2.html,https://www.nanosats.eu/sat/seeds-2.html,
NanoSail-D,纳米航行D,NASA Marshall Space Flight Center,US,3U,8/3/08,Launch failure,Deploy solar sail for deorbiting.,sat/nanosail-d.html,https://www.nanosats.eu/sat/nanosail-d.html,
PreSat (PharmaSat Risk Evaluation Satellite),药卫星先导星,NASA Ames Research Center,US,3U,8/3/08,Launch failure,Demonstrate CubeSat platform for space science laboratory experiments.,sat/presat.html,https://www.nanosats.eu/sat/presat.html,
"PSSC (PSSCT, PSSCT-1, Pico Satellite Solar Cell Testbed)",太阳能电池片测试皮星1号,Aerospace Corporation,US,6.5 kg,11/29/08,"Reentered, Was operational",Monitor accelerated radiation degradation of triple-junction solar cells in a high radiation environment.,sat/pssc.html,https://www.nanosats.eu/sat/pssc.html,
"KKS-1 (Kouku Kosen Satellite-1, KISEKI)",奇迹号,Tokyo Metropolitan College of Industrial Technology,Japan,3.17 kg,1/23/09,Operational,Educational space systems engineering and demonstrate laser ignition thruster and reaction wheels.,sat/kks-1.html,https://www.nanosats.eu/sat/kks-1.html,
PRISM (Picosatellite for Remote¿sensing and Innovative Space Missions),创新遥感空间任务微卫星,University of Tokyo,Japan,8.5 kg,1/23/09,Operational,Deployable telescope demonstration and COTS components.,sat/prism.html,https://www.nanosats.eu/sat/prism.html,
"STARS-1 Daughter (KUKAI, KAI, Space Tethered autonomous Robotic Satellite 1)",空间系留自主机器人卫星1号子星,Kagawa University,Japan,3.8 kg,1/23/09,"Reentered, Was operational",Two satellite system connected with 5 meter tether.,sat/stars-1.html,https://www.nanosats.eu/sat/stars-1.html,
AeroCube-3,航天立方3号,Aerospace Corporation,US,1U,5/19/09,"Reentered, Was operational",Tethered to the upper stage to image the launcher and ADCS sensor experiment.,sat/aerocube-3.html,https://www.nanosats.eu/sat/aerocube-3.html,
CP6 (Polysat),加州理工大学6号,California Polytechnic State University (Cal Poly),US,1U,5/19/09,"Reentered, Operational",Backup to CP3 with focus on ADCS and deployment of spring steel tapes.,sat/cp6.html,https://www.nanosats.eu/sat/cp6.html,
HawkSat I,飞鹰1号,Hawk Institute of Space Sciences,US,1U,5/19/09,"Reentered, No signal",Demonstrate CubeSat platform technologies and materials experiment.,sat/hawksat-i.html,https://www.nanosats.eu/sat/hawksat-i.html,
PharmaSat 1 (GeneSat-2),药剂卫星1号,NASA Ames Research Center,US,3U,5/19/09,"Reentered, Was operational",Controlled environment micro-laboratory packed with sensors and optical systems.,sat/pharmasat-1.html,https://www.nanosats.eu/sat/pharmasat-1.html,
"AggieSat2 (Dragonsat 2, AggiSat-2)",阿吉卫星2号,Texas A&M University,US,3.2 kg,7/15/09,"Reentered, Operational",Educational space systems engineering and GPS receiver testing.,sat/aggiesat-2.html,https://www.nanosats.eu/sat/aggiesat-2.html,
BEVO 1 (DragonSat 1),贝沃1号,University of Texas at Austin,US,3.5 kg,7/15/09,"Reentered, No signal",Educational space systems engineering and GPS receiver testing.,sat/bevo-1.html,https://www.nanosats.eu/sat/bevo-1.html,
BEESAT-1,蜜蜂卫星1,Technical University of Berlin,Germany,1U,9/23/09,Operational,Demonstrate CubeSat platform technologies and verification of reaction wheels.,sat/beesat-1.html,https://www.nanosats.eu/sat/beesat-1.html,
ITUpSAT-1,伊斯坦布尔技术大学皮卫星1号,Istanbul Technical University,Turkey,1U,9/23/09,Operational,Educational space systems engineering and CMOS camera.,sat/itupsat-1.html,https://www.nanosats.eu/sat/itupsat-1.html,
SwissCube,瑞士立方星,Swiss Federal Institute of Technology in Lausanne (EFPL),Switzerland,1U,9/23/09,Operational,Educational space systems engineering and camera to image nightglow phenomena.,sat/swisscube.html,https://www.nanosats.eu/sat/swisscube.html,
UWE-2,维尔茨堡大学试验星2号,University of Würzburg,Germany,1U,9/23/09,Was operational,Demonstrate CubeSat platform technologies with focus on ADCS.,sat/uwe-2.html,https://www.nanosats.eu/sat/uwe-2.html,
"KSat (Hayato, Kagoshima Satellite, K-Sat)",鹿儿岛卫星,Kagoshima University,Japan,1U,5/20/10,"Reentered, Was operational",Demonstrate atmospheric water vapour measurements and Ku-band transmitter.,sat/ksat.html,https://www.nanosats.eu/sat/ksat.html,
Negai (Negai-Star),愿望星,Soka University,Japan,1U,5/20/10,"Reentered, Operational",Commercial FPGA and camera.,sat/negai.html,https://www.nanosats.eu/sat/negai.html,
Waseda-SAT2,早稻田卫星2号,Waseda University,Japan,1U,5/20/10,"Reentered, No signal",Demonstrate CubeSat platform technologies and paddles for attitude control.,sat/waseda-sat-2.html,https://www.nanosats.eu/sat/waseda-sat-2.html,
AISSat-1,自动识别系统1号,Norwegian Space Centre,Norway,7 kg,7/12/10,Was operational,Demonstrate space-based AIS detection.,sat/aissat-1.html,https://www.nanosats.eu/sat/aissat-1.html,
StudSat-1 (Student Satellite-1),印度学生卫星,Nitte Meenakshi Institute of Technology,India,1U,7/12/10,Was semi-operational,Educational space systems engineering and CMOS camera.,sat/studsat-1.html,https://www.nanosats.eu/sat/studsat-1.html,
TISAT-1 (Ticino Satellite-1),提契诺卫星1号,University of Applied Sciences of Southern Switzerland (SUPSI),Switzerland,1U,7/12/10,Operational,Materials experiment to monitor atomic oxygen effects.,sat/tisat-1.html,https://www.nanosats.eu/sat/tisat-1.html,
"ZDPS 1A 01 (Zheda Pixing, Pixing 1)",浙大皮星一号A01星,Zhejiang University,China,3.5 kg,9/22/10,Was operational,"Demonstrate platform technologies with focus on camera, COTS components and ADCS.",sat/zdps-1a.html,https://www.nanosats.eu/sat/zdps-1a.html,
O/OREOS,生物体与器官轨道压力暴露测试,NASA Ames Research Center,US,3U,11/20/10,"Operational, ?",Demonstrate technologies for astrobiology experiments.,sat/o-oreos.html,https://www.nanosats.eu/sat/o-oreos.html,
RAX (Radio Aurora eXplorer),无线电极光探测器1号,University of Michigan,US,3U,11/20/10,Was operational,Investigate causes of upper atmospheric/ionospheric plasma turbulence by studying large plasma formations.,sat/rax.html,https://www.nanosats.eu/sat/rax.html,
Caerus-Mayflower (Mayflower-Caerus),五月花-凯鲁斯号,Northrop Grumman,US,3U,12/8/10,"Reentered, Operational",Demonstrate CubeSat platform technologies for educational purposes.,sat/caerus-mayflower.html,https://www.nanosats.eu/sat/caerus-mayflower.html,
Perseus 000,珀修斯000号,Los Alamos National Laboratory (LANL),US,1.5U,12/8/10,"Reentered, Operational",Demonstrate CubeSat platform technologies and development methodologies.,sat/perseus.html,https://www.nanosats.eu/sat/perseus.html,
QbX-1,立方试验星1号,US Naval Research Laboratory,US,3U,12/8/10,"Reentered, Operational",Communications payload and experiments.,sat/qbx.html,https://www.nanosats.eu/sat/qbx.html,
SMDC-ONE 1 (Space & Missile Defense Command-Operational Nanosatellite Effect),空间导弹防御指挥-作战纳米卫星1号,US Army Space and Missile Defense Command,US,3U,12/8/10,"Reentered, Operational",Demonstrate the ability to rapidly design and develop militarily relevant low cost spacecraft and communications relay.,sat/smdc-one.html,https://www.nanosats.eu/sat/smdc-one.html,
"E1P (HRBE, Explorer-1 Prime, Hiscock Radiation Belt Explorer)",探索者1号前导,Montana State University,US,1U,3/4/11,Launch failure,Detect the Van Allen radiation belts in honor of the 50th anniversary of Explorer-1.,sat/e1p-hrbe.html,https://www.nanosats.eu/sat/e1p-hrbe.html,
Hermes 1,赫尔墨斯1号,University of Colorado Boulder,US,1U,3/4/11,Launch failure,Demonstrate CubeSat platform technologies and high data-rate communication system.,sat/hermes-1.html,https://www.nanosats.eu/sat/hermes-1.html,
KySat-1 (KatySat 1),肯塔基卫星1号,Kentucky universities,US,1U,3/4/11,Launch failure,Educational outreach using mobile ground stations taken to schools.,sat/kysat-1.html,https://www.nanosats.eu/sat/kysat-1.html,
"PSSC-2 (Pico Satellite Solar Cell Testbed-2, PSSC Testbed-2, PSSCT-2, PSSC2)",太阳能电池片测试皮星2号,Aerospace Corporation,US,3.7 kg,7/20/11,"Reentered, Operational",Risk reduction for SENSE and CTECS sensors and characterizing solar cells.,sat/pssc-2.html,https://www.nanosats.eu/sat/pssc-2.html,
Jugnu,萤火虫号,"Indian Institute of Technology, Kanpur",India,3U,10/12/11,"Was operational, ?",Educational space systems engineering with camera and GPS.,sat/jugnu.html,https://www.nanosats.eu/sat/jugnu.html,
SRMSat (Sri Ramaswamy Memorial),SRM大学卫星,SRM University,India,10 kg,10/12/11,"Semi-operational, ?, Was operational",Monitor greenhouse gases with grating spectrometer.,sat/srmsat.html,https://www.nanosats.eu/sat/srmsat.html,
"AubieSat-1 (OSCAR-71, AO 71, AubieSat-OSCAR 71)",奥比卫星1号,Auburn University,US,1U,10/28/11,Was operational,Measure average density of ionospheric electronics using Faraday rotation effect.,sat/aubiesat-1.html,https://www.nanosats.eu/sat/aubiesat-1.html,
"DICE-1 (Dynamic Ionosphere CubeSat Experiment, DICE-E, Farkle)",动态电离层试验立方星1号,Utah State University,US,1.5U,10/28/11,Was operational,Mapping geomagnetic Storm Enhanced Density (SED) plasma bulge and plume formations in Earth’s ionosphere.,sat/dice.html,https://www.nanosats.eu/sat/dice.html,
"M-Cubed (COVE, MCUBED, M3)",密西根迷你卫星1号,University of Michigan,US,1U,10/28/11,Was semi-operational,Demonstrate CubeSat platform and image Earth.,sat/m-cubed.html,https://www.nanosats.eu/sat/m-cubed.html,
RAX-2 (Radio Aurora Explorer-2),无线电极光探测器2号,University of Michigan,US,3U,10/28/11,Was operational,Investigate causes of upper atmospheric/ionospheric plasma turbulence by studying large plasma formations.,sat/rax-2.html,https://www.nanosats.eu/sat/rax-2.html,
e-st@r (e-star-i),都灵理工大学教育卫星,Politecnico di Torino,Italy,1U,2/13/12,"Reentered, Was operational",Demonstrate CubeSat platform technologies for educational purposes with focus on ADCS.,sat/e-star.html,https://www.nanosats.eu/sat/e-star.html,
Goliat,格利阿特,University of Bucharest,Romania,1U,2/13/12,"Reentered, Was semi-operational",Educational space systems engineering and camera.,sat/goliat.html,https://www.nanosats.eu/sat/goliat.html,
"MaSat-1 (MO 72, MaSat-OSCAR 72)",匈牙利卫星1号,Budapest University of Technology and Economics,Hungary,1U,2/13/12,"Reentered, Operational",Educational space systems engineering and camera.,sat/masat-1.html,https://www.nanosats.eu/sat/masat-1.html,
PW-Sat,波兰华沙卫星1号,Warsaw University of Technology,Poland,1U,2/13/12,"Reentered, Was operational",Demonstrate deorbiting method with Shape Memory Alloy based sail.,sat/pw-sat.html,https://www.nanosats.eu/sat/pw-sat.html,
ROBUSTA-1A (Radiation on Bipolar University Satellite Test Application),双极辐射试验大学应用卫星1号,University of Montpellier,France,1U,2/13/12,"Reentered, No signal",Measure the radiation induced degradation of electronic devices.,sat/robusta-1a.html,https://www.nanosats.eu/sat/robusta-1a.html,
UNICubeSat-GG (Gravity Gradient),大学立方星-重力梯度,Sapienza University of Rome,Italy,1U,2/13/12,"Reentered, Was semi-operational",Demonstrate passive attitude control technique based on gravity gradient stabilization with deployable boom.,sat/unicubesat-gg.html,https://www.nanosats.eu/sat/unicubesat-gg.html,
Xatcobeo (Dieste),夏特科比奥,University of Vigo,Spain,1U,2/13/12,"Reentered, Operational",Educational space systems engineering with SDR radio and radiation sensor payloads.,sat/xatcobeo.html,https://www.nanosats.eu/sat/xatcobeo.html,
HORYU-2,高压技术演示卫星2号,Kyushu Institute of Technology,Japan,7.1 kg,5/17/12,"Semi-operational, ?",Demonstration of solar array discharge suppression technologies at 300V and taking photos of Earth.,sat/horyu-2.html,https://www.nanosats.eu/sat/horyu-2.html,
F-1 (F1),F1号,FPT University,Vietnam,1U,7/21/12,"Reentered, No signal",Educational space systems engineering with camera.,sat/f-1.html,https://www.nanosats.eu/sat/f-1.html,
FITSat-1 (NIWAKA),福冈工业大学立方星,Fukuoka Institute of Technology,Japan,1U,7/21/12,"Reentered, Operational",Demonstrated high-speed transmitter for photos and LED-based optical communication.,sat/fitsat-1.html,https://www.nanosats.eu/sat/fitsat-1.html,
RAIKO,雷克,Tohoku University,Japan,2U,7/21/12,"Reentered, Was operational",Demonstrate technologies for larger satellites including CMOS and CCD sensors.,sat/raiko.html,https://www.nanosats.eu/sat/raiko.html,
TechEdSat (Technological and Educational Nanosatellite),科技教育卫星1号,NASA Ames Research Center,US,1U,7/21/12,"Reentered, Operational",Demonstrate plug-and-play architecture and communication systems plus camera.,sat/techedsat.html,https://www.nanosats.eu/sat/techedsat.html,
We Wish (We-Wish),空间高度世界环境观察卫星,Meisei Electric,Japan,1U,7/21/12,"Reentered, Operational",Educational project with infrared camera and SSTV transmitter.,sat/we-wish.html,https://www.nanosats.eu/sat/we-wish.html,
"TT 1 (TianTuo 1, Tiantuo Yihao Weixing)",天拓一号,National University of Defense Technology (NUDT),China,9.3 kg,9/8/12,"Reentered, Operational",Demonstrate CubeSat platform technologies and AIS and camera.,sat/tt-1.html,https://www.nanosats.eu/sat/tt-1.html,
AENEAS,埃涅阿斯号,University of Southern California,US,3U,9/13/12,Semi-operational,Tracking cargo containers over the ocean with deployable parabolic antenna.,sat/aeneas.html,https://www.nanosats.eu/sat/aeneas.html,
AeroCube-4A (AeroCube 4.5A),航天立方4A,Aerospace Corporation,US,1U,9/13/12,Was operational,Attitude control with movable solar panels and launch vehicle environment data logger.,sat/aerocube-4.html,https://www.nanosats.eu/sat/aerocube-4.html,
"CINEMA (CubeSat for Ions, Neutrals, Electrons, & MAgnetic fields)",影城1,University of California,US,3U,9/13/12,"Was operational, ?",Space weather measurements measuring electron and ions in the range of 2-200 keV.,sat/cinema.html,https://www.nanosats.eu/sat/cinema.html,
CP5,加州理工大学5号,California Polytechnic State University (Cal Poly),US,1U,9/13/12,Was operational,De-orbiting experiment using a thin-film deployable mechanism.,sat/cp5.html,https://www.nanosats.eu/sat/cp5.html,
CSSWE (Colorado Student Space Weather Experiment),科罗拉多学生空间天气试验星,University of Colorado Boulder,US,3U,9/13/12,Was operational,Measure the directional differential flux of Solar Energetic Protons (SEPs) and Earth’s radiation belt electrons.,sat/csswe.html,https://www.nanosats.eu/sat/csswe.html,
CXBN (Cosmic X-ray Background Nanosatellite),宇宙X射线背景1号,Morehead State University,US,2U,9/13/12,Was semi-operational,Measure cosmic x-ray background in the 30-50 keV range.,sat/cxbn.html,https://www.nanosats.eu/sat/cxbn.html,
"Re (STARE A, Space-based Telescopes for the Actionable Refinement of Ephemeris)",星历操作精化天基望远镜A,LLNL (Lawrene Livermore National Laboratory),US,3U,9/13/12,Was semi-operational,Observe objects in space for space situational awareness and orbital parameters refinement.,sat/re-stare.html,https://www.nanosats.eu/sat/re-stare.html,
